ID,oma,panther,inspector,score
U3J6N0,1,0,0,1
H2LAM7,0,1,0,1
A0A7N4PV29,1,0,0,1
ENSMEUG00000001229,1,0,0,1
A0A4W4DWV7,1,0,0,1
A0A2A3E6X1,0,0,1,1
A0A8C9NA65,1,0,0,1
A0A670YC23,1,0,0,1
A0A8C4XT49,1,0,0,1
A0A3Q0FZB9,0,0,1,1
A0A0V1APU9,0,0,1,1
XP_004442788,1,0,0,1
A0A1S3A4J2,0,0,1,1
B0WYT7,0,0,1,1
A0A0P7X939,0,0,1,1
A0A3B3D8U6,1,0,0,1
A0A0N4VMK5,0,0,1,1
ENSDNOG00000018213,1,0,0,1
A0A151IWU5,0,0,1,1
A0A452RFE6,1,0,0,1
A0A096P241,0,0,1,1
U4UHW6,0,0,1,1
A0A151MZ17,0,0,1,1
A0A8C2UHC3,1,0,0,1
F6X303,0,0,1,1
ENSHGLG00100005342.1,1,0,0,1
A0A2R9B954,1,0,0,1
ENSPCAG00000011829,1,0,0,1
A0A2Y9MMK3,0,0,1,1
A0A287DE24,1,0,0,1
ENSSMAG00000013331.1,1,0,0,1
H3DKP7,1,0,0,1
A0A158R9C0,0,0,1,1
G5BQK3,0,0,1,1
H2QXG9,1,0,0,1
ENSFDAG00000014742.1,1,0,0,1
H2TC96,0,0,1,1
A0A3Q1B1T4,1,0,0,1
H2ZKX1,0,0,1,1
ENSEEUG00000001051,1,0,0,1
A0A672MWG4,1,0,0,1
A0A8C5VGF6,1,0,0,1
A0A3S3RLK1,0,0,1,1
E7F5A6,0,0,1,1
A0A8C6JKB6,1,0,0,1
A0A3M6UZA8,0,0,1,1
A0A2G8K4U0,0,0,1,1
A0A3Q2XMF1,1,0,0,1
A0A3B4T4U3,1,0,0,1
ENSATEG00000015016.1,1,0,0,1
A0A0N4U8B0,0,0,1,1
E3NSP1,0,0,1,1
A0A8C4M3Y5,1,0,0,1
A0A3Q7XBP5,0,0,1,1
A0A8D2KYT5,1,0,0,1
A0A673UNP4,1,0,0,1
E4XFK0,0,0,1,1
MESCA012107,1,0,0,1
B4JB50,0,0,1,1
A0A1S3JMQ6,0,0,1,1
A0A2U3V9E1,0,0,1,1
A0A9J7L4D7,1,0,0,1
A0A8C0RAA3,1,0,0,1
A0A2K6TN39,0,0,1,1
A0A2Y9DZD3,0,0,1,1
A0A672U0S3,1,0,0,1
ENSOJAG00000008579.1,1,0,0,1
A0A0L7LIV9,0,0,1,1
A0A1B8Y412,0,0,1,1
A0A674PJL4,1,0,0,1
W5JCL6,0,0,1,1
B4MTV8,0,0,1,1
A0A452UK83,1,0,0,1
A0A154PQC6,0,0,1,1
A0A2G5U2B1,0,0,1,1
A0A493SYI2,1,0,0,1
K1QW70,0,0,1,1
H3DW33,0,0,1,1
A0A2Y9FJL0,0,0,1,1
A0A212ELF3,0,0,1,1
A0A1V9X8X0,0,0,1,1
A0A3P9AC75,1,0,0,1
A0A194QKP9,0,0,1,1
A0A8C5KV80,1,0,0,1
A0A060X1A5,0,0,1,1
V4AHL8,0,0,1,1
A0A3P6TZZ8,0,0,1,1
E0VQ19,0,0,1,1
ENSPCIG00000023207.1,1,0,0,1
A0A2R2MLJ4,0,0,1,1
A0A3Q2CYM8,1,0,0,1
A0A671EQR9,1,0,0,1
T2M8Z9,1,0,0,1
A0A067QUS5,0,0,1,1
A0A668VWE2,1,0,0,1
A0A493SWN1,1,0,0,1
A0A803Y3S5,1,0,0,1
H3BZM4,0,0,1,1
U1MF82,0,0,1,1
A0A8C0CNC4,1,0,0,1
A0A8C5IE76,1,0,0,1
A0A3Q3ARM2,1,0,0,1
F6Z296,0,0,1,1
A0A369SJR9,0,0,1,1
ENSDARG00000098215.2,1,0,0,1
T1H9D0,0,0,1,1
G0PHN2,0,0,1,1
A0A2C9VVS7,0,0,1,1
A0A0N4TLA2,0,0,1,1
G0P8W4,0,0,1,1
ENSTTRG00000003734,1,0,0,1
A0A267H129,0,0,1,1
A0A1I8EE59,0,0,1,1
A0A8C3IEZ0,1,0,0,1
A0A2A4JRH7,0,0,1,1
A0A158NNV2,0,0,1,1
A0A2I0LW33,0,0,1,1
A0A0V1B242,0,0,1,1
A0A1S3LH43,0,0,1,1
A0A8C6RWW9,1,0,0,1
G1N201,1,0,0,1
A0A4X2L4E7,1,0,0,1
A0A2I4CLS1,0,0,1,1
ENSIPUG00000023601.1,1,0,0,1
B4LU99,0,0,1,1
A0A195BTN5,0,0,1,1
A0A8U7MFT0,1,0,0,1
A0A2K5E6E7,0,0,1,1
XP_042662949,1,0,0,1
U3BWH6,0,0,1,1
A0A401RUN3,1,0,0,1
A0A1S3MCJ6,0,0,1,1
A0A663MN79,1,0,0,1
A0A0L0C254,0,0,1,1
A0A3B0JDA7,0,0,1,1
A0A8I3XBE7,1,0,0,1
ENSODEG00000011338.1,1,0,0,1
XP_017509035,1,0,0,1
A0A7M4FQT5,1,0,0,1
ENSPVAG00000010589,1,0,0,1
A0A7M7N1W0,0,1,0,1
A0A4W2D949,1,0,0,1
A0A0M4E6J5,0,0,1,1
ENSEGOG00005011975.1,1,0,0,1
A0A090LSX7,0,0,1,1
E2RPJ7,0,0,1,1
A0A672ISK0,1,0,0,1
ENSPMJG00000004160.1,1,0,0,1
A0A0K0EB27,0,0,1,1
ENSETEG00000000995,1,0,0,1
Q8TD16,1,0,0,1
A0A2K5E631,1,0,0,1
B5DJ67,0,0,1,1
A0A7N5K3G8,1,0,0,1
A0A0B2USZ6,0,0,1,1
A0A068XKR7,0,0,1,1
L5JVR2,0,0,1,1
A0A3P8WZE3,1,0,0,1
A0A1W4V050,0,0,1,1
A0A673Z2A4,1,0,0,1
A0A1I7UNR6,0,0,1,1
A0A1U7QF80,0,0,1,1
A0A674GUP4,1,0,0,1
A0A2A2K7V2,0,0,1,1
A0A4X1U8R3,1,0,0,1
A0A670HPE4,1,0,0,1
B4Q7Y4,0,0,1,1
